QUALIFICATION,Category
Ph. D,PHD
एस एस सि,SLC
पि एच डि,PHD
b.b.s,Bachelor
प्रवीणता प्रमाण पत्र,2
"स्नाकोत्तर अंग्र्जी साहित्य,स्नाकोत्तर राजनितिक शास्त्र",Masters
L.L.C,SLC
MASTERS DEGREE,Masters
स्ननातक तह,Bachelor
mbbs,Bachelor
I.Ed.,2
शास्त्री,Bachelor
‌‌‍+२,2
11 pass,2
IL,2
स्नातकोत्तर (एम.डि.मेडिकल),Masters
High School,SLC
"MBA, MA, PHD",PHD
mabl,Masters
‌‍‍‍‍‍‌‌प्रमाण पत्र तह,2
basic,Under SLC
Diploma in hotel management ,2
Bachelor B.Com. B.Ed.,Bachelor
Bachelor वि.एल,Bachelor
High School SLC ,SLC
Computer Engineer,Bachelor
Masters PHD ,PHD
Bachelor B.Ed. BA,Bachelor
+2 Pass,2
स.ले.प.,Under SLC
M Phil,Masters
ballb ,Bachelor
कक्षा-8,Under SLC
B.Music संगीत विशारद,Bachelor
B.B.S.,Bachelor
10 कक्षा उत्तिर्ण,SLC
I.Ed,2
B.SC,Bachelor
i.com,2
विकम,Bachelor
PhD,PHD
Education SLC,SLC
कक्षा १० उतिर्ण,SLC
वि.वि.एस,Bachelor
वि.ए पास,Bachelor
9 कक्षा,Under SLC
B.Ed,Bachelor
mcom स्नातोकतर,Masters
Degree,Masters
Diploma in Civil Engineering,2
Under S.L.C.,Under SLC
M.Sc. Statistics,Masters
B.E.Civil,Bachelor
under SLC,Under SLC
BSc.,Bachelor
CA,Masters
LEKHAPADH SADHARAN,Under SLC
bsc,Bachelor
INTERMEDIATE,2
BATCHALOR,Bachelor
ICOM,2
batchalor,Bachelor
B.E (CIVIL),Bachelor
PCL Radiography (CTEVE),2
I.A.C,2
CMA,SLC
H.A.,2
B.E,Bachelor
Bachelor Level,Bachelor
एम.डि.,Masters
एम.डी.,Masters
प्रविणता प्रमाणपत्र तह उतिर्ण ,2
M.A. ,Masters
प्रविणता प्रमाणपत्र तह (शिक्षाशास्त्र संकाय),2
स्‍नातक तह (व्यवस्थापन),Bachelor
B.ED.,Bachelor
१० कक्षा ,SLC
स्नातक तह (व्यवस्थापन),Bachelor
10 कक्षा उतिर्ण ,SLC
स्नातक तह (ईन्जिनियरिङ्ग),Bachelor
 s l c,SLC
६ कक्षाा,Under SLC
स्‍नातक (कानून),Bachelor
एम.एड/ वि.कम,Masters
स्‍नाकोत्तर ,Masters
प्रविणता प्रमाणपत्र तह (+2),2
M.A. / B.L.,Masters
स्‍नातक अन्तराष्ट्रिय विजनेसमा (IB),Bachelor
I.Sc Ag 1st year,2
10 कक्षा उत्तीर्ण ,SLC
स्‍नात्तकोत्तर ,Masters
S.L.C. पास ,SLC
व्याचलर ,Bachelor
I.A. पास ,2
S.L.C पास ,SLC
प्रविणता प्रमाण पत्र तह उत्तीर्ण,2
८ पास ,Under SLC
Ph.D. ,PHD
प्रमाण तह,2
एम फिल,Masters
बि एल ,Bachelor
High School +2,2
3 कक्षा,Under SLC
Intermediate,2
साधारण लेखपठ।,Under SLC
M.ed.,Masters
साधारण।,Under SLC
Diploma in Film Studies,2
प्रमाण-पत्र तह,2
SLC Pass,SLC
MD.; Mphil; Ms.(Ortho),Masters
Bed स्‍नातक,Bachelor
९ उतिर्ण,Under SLC
"एस.एल.सी., +2",2
12,2
साधारण पढलेख,Under SLC
I.ed,2
बि एड ,Bachelor
‍‌+2,2
INTER,2
"MBBS,MS, FCSS",Masters
I.sc,2
